rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,avg_comments,engagement,engagement_rate_pct,engagement_rate_decimal,likes_per_post_from_total,likes_per_post,following,followers_following_ratio,log1p_followers,log1p_posts,log1p_total_likes,log1p_likes_per_post,caption_len,hashtag_count,mention_count,url_count,days_since_last_post,account_age_days,posts_per_day,posts_per_month,verified_binary,followers_times_engrate
39,lalalalisa_m,70,870.0,80900000.0,5800000.0,9.0,7200000.0,5100000000.0,Unknown,0.0,5800000.0,7.169344870210136,0.07169344870210136,5862068.9655172415,5800000.0,,,18.20872439438966,6.769641976852503,22.35250637687277,15.573368647930426,,,,,,,,,0,5800000.0
40,Shakira,88,2000.0,76100000.0,975100.0,0.41,304700.0,1900000000.0,Unknown,0.0,975100.0,1.281340341655716,0.012813403416557161,950000.0,975100.0,,,18.147558835972518,7.601402334583733,21.365119723645122,13.790296334358526,,,,,,,,,0,975100.0
41,snoopdogg,86,10000.0,75300000.0,203700.0,0.17,125800.0,2000000000.0,Unknown,0.0,203700.0,0.27051792828685256,0.0027051792828685257,200000.0,203700.0,,,18.136990706050334,9.210440366976517,21.416413018006356,12.224408511383015,,,,,,,,,0,203700.0
42,gigihadid,85,3300.0,75300000.0,2500000.0,2.56,1900000.0,8199999999.999999,United States,0.0,2500000.0,3.3200531208499333,0.033200531208499334,2484848.4848484844,2500000.0,,,18.136990706050334,8.101980731853192,22.82739999133857,14.731801689838349,,,,,,,,,0,2500000.0
43,davidbeckham,86,1500.0,74900000.0,1200000.0,0.46,340900.0,1900000000.0,United States,0.0,1200000.0,1.602136181575434,0.01602136181575434,1266666.6666666667,1200000.0,,,18.131664461838582,7.313886831633462,21.365119723645122,13.997832948091215,,,,,,,,,0,1200000.0
44,shraddhakapoor,81,1900.0,73900000.0,1600000.0,1.17,859900.0,3000000000.0,Unknown,0.0,1600000.0,2.165087956698241,0.02165087956698241,1578947.3684210526,1600000.0,,,18.11822339945023,7.550135342488429,21.821878125947855,14.285514812209815,,,,,,,,,0,1600000.0000000002
45,victoriassecret,88,2900.0,73200000.0,147000.0,0.04,29800.0,423500000.0,United States,0.0,147000.0,0.20081967213114751,0.0020081967213114752,146034.4827586207,147000.0,,,18.108705992592743,7.972810784121404,19.86406407441766,11.898194668458823,,,,,,,,,0,147000.0
46,k.mbappe,86,1200.0,72700000.0,2500000.0,2.16,1600000.0,2800000000.0,Unknown,0.0,2500000.0,3.43878954607978,0.0343878954607978,2333333.3333333335,2500000.0,,,18.101851956258905,7.0909098220799835,21.752885254484713,14.731801689838349,,,,,,,,,0,2500000.0
47,nehakakkar,84,2300.0,70400000.0,1500000.0,0.54,370100.0,3500000000.0,India,0.0,1500000.0,2.130681818181818,0.02130681818181818,1521739.1304347827,1500000.0,,,18.069703835332817,7.741099090035366,21.976028805727495,14.220976332738882,,,,,,,,,0,1500000.0
48,nba,87,12900.0,70100000.0,370800.0,0.28,196900.0,4800000000.0,United States,0.0,370800.0,0.5289586305278174,0.005289586305278174,372093.0232558139,370800.0,,,18.065433366270153,9.465060106725137,22.29188175506859,12.82342080954183,,,,,,,,,0,370800.0
